id,genre,href
1,southafricandeephouse,engenremap-southafricandeephouse.html
2,frenchtechhouse,engenremap-frenchtechhouse.html
3,musicaamapaense,engenremap-musicaamapaense.html
4,folkrockitaliano,engenremap-folkrockitaliano.html
5,pianoblues,engenremap-pianoblues.html
6,chutney,engenremap-chutney.html
7,chachacha,engenremap-chachacha.html
8,canadianceltic,engenremap-canadianceltic.html
9,yeye,engenremap-yeye.html
10,fadoinstrumental,engenremap-fadoinstrumental.html
11,classicaustraliancountry,engenremap-classicaustraliancountry.html
12,birminghamindie,engenremap-birminghamindie.html
13,hamptonroadsindie,engenremap-hamptonroadsindie.html
14,chansonquebecois,engenremap-chansonquebecois.html
15,folkrock,engenremap-folkrock.html
16,dutchclassicalpiano,engenremap-dutchclassicalpiano.html
17,thaifolk,engenremap-thaifolk.html
18,teluguworship,engenremap-teluguworship.html
19,muzicacrestina,engenremap-muzicacrestina.html
20,sega,engenremap-sega.html
21,syroaramaicchant,engenremap-syroaramaicchant.html
22,trapcolombiano,engenremap-trapcolombiano.html
23,littlerockindie,engenremap-littlerockindie.html
24,deeptalentshow,engenremap-deeptalentshow.html
25,mexicanpowermetal,engenremap-mexicanpowermetal.html
26,koreantrap,engenremap-koreantrap.html
27,chamamebrasilero,engenremap-chamamebrasilero.html
28,reggaeperuano,engenremap-reggaeperuano.html
29,turbofolk,engenremap-turbofolk.html
30,yumex,engenremap-yumex.html
31,namibianpop,engenremap-namibianpop.html
32,hiphoptuga,engenremap-hiphoptuga.html
33,zen,engenremap-zen.html
34,pakistanihiphop,engenremap-pakistanihiphop.html
35,vintagechinesepop,engenremap-vintagechinesepop.html
36,reggaeenespanol,engenremap-reggaeenespanol.html
37,melanesianpop,engenremap-melanesianpop.html
38,swedishundergroundrap,engenremap-swedishundergroundrap.html
39,cumbiadelsureste,engenremap-cumbiadelsureste.html
40,canadianindigenoushiphop,engenremap-canadianindigenoushiphop.html
41,raplatina,engenremap-raplatina.html
42,americanshoegaze,engenremap-americanshoegaze.html
43,baltimorehiphop,engenremap-baltimorehiphop.html
44,reggae,engenremap-reggae.html
45,classicpraise,engenremap-classicpraise.html
46,puneindie,engenremap-puneindie.html
47,judaica,engenremap-judaica.html
48,tvog,engenremap-tvog.html
49,jazztrumpet,engenremap-jazztrumpet.html
50,rockcatala,engenremap-rockcatala.html
51,histoirepourenfants,engenremap-histoirepourenfants.html
52,dutchmusical,engenremap-dutchmusical.html
53,zimgospel,engenremap-zimgospel.html
54,southeastasianpostrock,engenremap-southeastasianpostrock.html
55,fingerstyle,engenremap-fingerstyle.html
56,swedishrockandroll,engenremap-swedishrockandroll.html
57,varietefrancaise,engenremap-varietefrancaise.html
58,classicturkishpop,engenremap-classicturkishpop.html
59,stpetersburgflindie,engenremap-stpetersburgflindie.html
60,taiwanindie,engenremap-taiwanindie.html
61,mambo,engenremap-mambo.html
62,wyomingindie,engenremap-wyomingindie.html
63,swedishindiefolk,engenremap-swedishindiefolk.html
64,musicafolkasturiana,engenremap-musicafolkasturiana.html
65,iskelma,engenremap-iskelma.html
66,traditionalcountry,engenremap-traditionalcountry.html
67,ragtime,engenremap-ragtime.html
68,audiophilevocal,engenremap-audiophilevocal.html
69,southerngospel,engenremap-southerngospel.html
70,hardstyle,engenremap-hardstyle.html
71,musicasantomense,engenremap-musicasantomense.html
72,healing,engenremap-healing.html
73,worcestermaindie,engenremap-worcestermaindie.html
74,chicagorap,engenremap-chicagorap.html
75,balkantrap,engenremap-balkantrap.html
76,garagerockmexicano,engenremap-garagerockmexicano.html
77,israelitehiphop,engenremap-israelitehiphop.html
78,russianfolkrock,engenremap-russianfolkrock.html
79,coralgospel,engenremap-coralgospel.html
80,upstatenyrap,engenremap-upstatenyrap.html
